Date,DayOfWeek,PdDistrict,new_cat_domestic,new_cat_drug,new_cat_kidnap,new_cat_others,new_cat_public,new_cat_sex,new_cat_suicide,new_cat_theft,sum_crime_district
01/14/2014,Tuesday,NORTHERN,0,0,1,6,5,0,0,28,40
01/14/2014,Tuesday,PARK,0,3,0,4,5,0,0,8,20
01/14/2014,Tuesday,RICHMOND,0,1,0,6,6,0,0,13,26
01/14/2014,Tuesday,SOUTHERN,1,3,0,11,16,1,0,34,66
01/14/2014,Tuesday,TARAVAL,1,1,1,5,9,1,0,15,33
01/14/2014,Tuesday,TENDERLOIN,0,10,0,6,10,0,0,11,37
01/14/2015,Wednesday,BAYVIEW,2,0,0,11,17,0,0,19,49
01/14/2015,Wednesday,CENTRAL,0,0,0,2,5,0,0,19,26
01/14/2015,Wednesday,INGLESIDE,0,1,0,6,11,0,0,17,35
01/14/2015,Wednesday,MISSION,1,2,1,14,21,0,0,23,62
01/14/2015,Wednesday,NORTHERN,0,3,1,6,9,1,0,21,41
01/14/2015,Wednesday,PARK,1,0,0,6,1,0,0,9,17
01/14/2015,Wednesday,RICHMOND,1,0,0,2,2,0,0,12,17
01/14/2015,Wednesday,SOUTHERN,0,1,0,7,25,0,0,45,78
01/14/2015,Wednesday,TARAVAL,3,1,0,5,12,0,0,15,36
01/14/2015,Wednesday,TENDERLOIN,1,5,0,8,14,0,0,6,34
01/14/2016,Thursday,BAYVIEW,0,1,0,10,13,0,0,12,36
01/14/2016,Thursday,CENTRAL,1,0,0,3,7,0,0,22,33
01/14/2016,Thursday,INGLESIDE,0,1,0,4,3,0,0,13,21
01/14/2016,Thursday,MISSION,1,1,0,5,16,0,0,22,45
01/14/2016,Thursday,NORTHERN,0,1,0,6,10,1,0,21,39
01/14/2016,Thursday,PARK,3,0,0,5,4,0,0,10,22
01/14/2016,Thursday,RICHMOND,0,0,0,2,5,0,0,10,17
01/14/2016,Thursday,SOUTHERN,0,0,0,8,9,0,0,35,52
01/14/2016,Thursday,TARAVAL,0,0,0,5,8,0,0,10,23
01/14/2016,Thursday,TENDERLOIN,0,2,0,4,12,2,0,14,34
01/14/2017,Saturday,BAYVIEW,1,0,0,10,18,0,0,13,42
01/14/2017,Saturday,CENTRAL,0,0,0,1,16,0,0,38,55
01/14/2017,Saturday,INGLESIDE,0,0,0,5,6,0,0,11,22
01/14/2017,Saturday,MISSION,0,2,0,10,21,1,0,29,63
01/14/2017,Saturday,NORTHERN,0,1,0,7,15,0,0,28,51
01/14/2017,Saturday,PARK,1,0,0,1,5,0,0,4,11
01/14/2017,Saturday,RICHMOND,0,0,0,3,3,0,0,12,18
01/14/2017,Saturday,SOUTHERN,1,3,0,8,22,0,0,47,81
01/14/2017,Saturday,TARAVAL,0,1,0,8,5,0,0,15,29
01/14/2017,Saturday,TENDERLOIN,0,1,0,4,5,0,0,6,16
01/15/2012,Sunday,BAYVIEW,0,3,0,7,11,0,0,7,28
01/15/2012,Sunday,CENTRAL,1,0,1,4,15,1,0,11,33
01/15/2012,Sunday,INGLESIDE,2,0,0,4,14,0,0,9,29
01/15/2012,Sunday,MISSION,0,3,0,9,15,0,0,7,34
01/15/2012,Sunday,NORTHERN,0,2,1,2,13,0,0,12,30
01/15/2012,Sunday,PARK,2,0,1,4,7,0,0,6,20
01/15/2012,Sunday,RICHMOND,1,0,0,3,6,0,0,6,16
01/15/2012,Sunday,SOUTHERN,3,1,0,7,17,0,0,17,45
01/15/2012,Sunday,TARAVAL,0,0,0,2,10,0,0,14,26
01/15/2012,Sunday,TENDERLOIN,1,2,0,4,3,0,0,7,17
01/15/2013,Tuesday,BAYVIEW,2,5,0,5,9,0,0,10,31
01/15/2013,Tuesday,CENTRAL,0,0,0,2,9,1,0,10,22
01/15/2013,Tuesday,INGLESIDE,0,0,1,4,9,2,0,17,33
01/15/2013,Tuesday,MISSION,0,2,0,8,8,0,0,15,33
01/15/2013,Tuesday,NORTHERN,0,3,0,3,11,0,0,17,34
01/15/2013,Tuesday,PARK,2,0,0,5,3,0,0,9,19
01/15/2013,Tuesday,RICHMOND,1,0,0,3,3,0,0,12,19
01/15/2013,Tuesday,SOUTHERN,1,5,0,12,13,0,0,24,55
01/15/2013,Tuesday,TARAVAL,1,0,1,6,12,0,0,16,36
01/15/2013,Tuesday,TENDERLOIN,1,3,0,5,18,1,0,6,34
01/15/2014,Wednesday,BAYVIEW,2,1,0,7,11,0,0,12,33
01/15/2014,Wednesday,CENTRAL,0,1,1,5,8,1,0,24,40
01/15/2014,Wednesday,INGLESIDE,0,0,0,10,9,0,0,18,37
01/15/2014,Wednesday,MISSION,0,2,0,10,13,2,0,21,48
01/15/2014,Wednesday,NORTHERN,0,2,0,8,6,0,0,30,46
01/15/2014,Wednesday,PARK,1,2,0,3,4,0,0,11,21
01/15/2014,Wednesday,RICHMOND,0,0,0,2,10,1,0,5,18
01/15/2014,Wednesday,SOUTHERN,1,1,0,11,23,1,0,27,64
01/15/2014,Wednesday,TARAVAL,0,0,0,5,10,0,0,13,28
01/15/2014,Wednesday,TENDERLOIN,0,3,1,5,10,0,0,14,33
01/15/2015,Thursday,BAYVIEW,2,0,0,13,11,1,0,20,47
01/15/2015,Thursday,CENTRAL,1,0,0,3,8,0,0,31,43
01/15/2015,Thursday,INGLESIDE,0,0,0,8,15,1,0,23,47
01/15/2015,Thursday,MISSION,2,3,0,8,15,0,0,14,42
01/15/2015,Thursday,NORTHERN,0,4,0,8,10,0,0,26,48
01/15/2015,Thursday,PARK,2,1,0,6,6,0,0,14,29
01/15/2015,Thursday,RICHMOND,0,0,0,5,4,0,0,9,18
01/15/2015,Thursday,SOUTHERN,2,1,1,9,19,0,0,43,75
01/15/2015,Thursday,TARAVAL,1,0,0,4,14,0,0,8,27
01/15/2015,Thursday,TENDERLOIN,1,3,0,6,9,0,0,9,28
01/15/2016,Friday,BAYVIEW,1,1,0,6,13,0,0,20,41
