Inventory,Median Dom,Median Sale,New Listings,Period End,DoW,Neighborhood,PdDistrict
7,59.5,1500000,15,2/29/12,Wed,Ashbury Heights / Parnassus,PARK
8,145,293000,7,2/29/12,Wed,Bret Harte,BAYVIEW
4,69,685000,12,2/29/12,Wed,Buena Vista,PARK
13,72,316000,19,2/29/12,Wed,Cathedral Hill,NORTHERN
7,59.5,552000,10,2/29/12,Wed,Cayuga,INGLESIDE
5,54.5,2465000,2,2/29/12,Wed,Clarendon Heights,PARK
,13,1050000,3,2/29/12,Wed,Corona Heights,PARK
6,15.5,1346000,15,2/29/12,Wed,Dolores Heights,MISSION
9,26.5,1150000,21,2/29/12,Wed,Eureka Valley,MISSION
10,44.5,857000,11,2/29/12,Wed,Fairmount,CENTRAL
,14,1427000,3,2/29/12,Wed,Forest Hill,TARAVAL
9,62,635000,20,2/29/12,Wed,Golden Gate Heights,TARAVAL
2,90,805000,4,2/29/12,Wed,Haight Ashbury,PARK
6,17,598000,9,2/29/12,Wed,Holly Park,INGLESIDE
21,54,943000,35,2/29/12,Wed,Inner Richmond,RICHMOND
11,50.5,805000,19,2/29/12,Wed,Inner Sunset,TARAVAL
4,65,792000,6,2/29/12,Wed,Lake Street,NORTHERN
8,34,703000,12,2/29/12,Wed,Laurel Heights-Jordan Park,RICHMOND
7,131,810000,8,2/29/12,Wed,Lone Mountain,RICHMOND
22,16,498000,30,2/29/12,Wed,Mission Bay,SOUTHERN
13,18,715000,27,2/29/12,Wed,Mission District,MISSION
6,17,750000,14,2/29/12,Wed,Mission Dolores,MISSION
23,32,998000,60,2/29/12,Wed,Noe Valley,MISSION
108,51,650000,140,2/29/12,Wed,Northeast San Francisco,CENTRAL
270,50,828000,376,2/29/12,Wed,Northwest San Francisco,RICHMOND
5,35,486000,12,2/29/12,Wed,Outer Mission,INGLESIDE
33,33.5,688000,43,2/29/12,Wed,Outer Richmond,RICHMOND
44,53.5,595000,61,2/29/12,Wed,Outer Sunset,TARAVAL
4,50,981000,9,2/29/12,Wed,Panhandle,PARK
16,28,680000,20,2/29/12,Wed,Parkside,TARAVAL
6,10.5,773000,5,2/29/12,Wed,Peralta Heights,BAYVIEW
8,64,2298000,10,2/29/12,Wed,Presidio Heights,NORTHERN
23,23,780000,40,2/29/12,Wed,Rincon Hill,SOUTHERN
5,43.5,1550000,7,2/29/12,Wed,Seacliff,RICHMOND
61,30.5,637000,92,2/29/12,Wed,South Beach,SOUTHERN
30,20,519000,44,2/29/12,Wed,South of Market,SOUTHERN
337,34,532000,449,2/29/12,Wed,Southeast San Francisco,BAYVIEW
313,45,660000,476,2/29/12,Wed,Southwest San Francisco,TARAVAL
10,56,600000,15,2/29/12,Wed,Sunnyside,INGLESIDE
6,40,425000,11,2/29/12,Wed,Tenderloin,TENDERLOIN
7,77,1050000,10,2/29/12,Wed,Union Street,CENTRAL
4,7,576000,10,2/29/12,Wed,University Mound,BAYVIEW
12,110,1147000,12,2/29/12,Wed,Upper Market,PARK
10,64.5,419000,20,2/29/12,Wed,Visitacion Valley,INGLESIDE
1,58,1223000,6,3/31/12,Sat,Anza Vista,PARK
6,49.5,1431000,21,3/31/12,Sat,Ashbury Heights / Parnassus,PARK
9,118,296000,11,3/31/12,Sat,Bret Harte,BAYVIEW
5,56,753000,18,3/31/12,Sat,Buena Vista,PARK
11,35,390000,24,3/31/12,Sat,Cathedral Hill,NORTHERN
9,39,540000,9,3/31/12,Sat,Cayuga,INGLESIDE
5,127,2605000,5,3/31/12,Sat,Clarendon Heights,PARK
1,11,925000,5,3/31/12,Sat,Corona Heights,PARK
11,15,1342000,29,3/31/12,Sat,Dolores Heights,MISSION
9,18.5,1150000,27,3/31/12,Sat,Eureka Valley,MISSION
6,33,883000,12,3/31/12,Sat,Fairmount,CENTRAL
5,14,825000,7,3/31/12,Sat,Forest Hill,TARAVAL
13,18,788000,31,3/31/12,Sat,Golden Gate Heights,TARAVAL
2,13,810000,12,3/31/12,Sat,Haight Ashbury,PARK
4,49,550000,9,3/31/12,Sat,Holly Park,INGLESIDE
25,47,900000,49,3/31/12,Sat,Inner Richmond,RICHMOND
12,33.5,805000,26,3/31/12,Sat,Inner Sunset,TARAVAL
3,20,715000,8,3/31/12,Sat,Lake Street,NORTHERN
5,45,722000,13,3/31/12,Sat,Laurel Heights-Jordan Park,RICHMOND
6,20,854000,11,3/31/12,Sat,Lone Mountain,RICHMOND
23,18,605000,42,3/31/12,Sat,Mission Bay,SOUTHERN
16,26,670000,47,3/31/12,Sat,Mission District,MISSION
6,14.5,797000,20,3/31/12,Sat,Mission Dolores,MISSION
32,28,1088000,97,3/31/12,Sat,Noe Valley,MISSION
97,35.5,629000,186,3/31/12,Sat,Northeast San Francisco,CENTRAL
253,34,815000,530,3/31/12,Sat,Northwest San Francisco,RICHMOND
5,16,510000,12,3/31/12,Sat,Outer Mission,INGLESIDE
26,28.5,660000,48,3/31/12,Sat,Outer Richmond,RICHMOND
44,56,619000,84,3/31/12,Sat,Outer Sunset,TARAVAL
6,10,845000,14,3/31/12,Sat,Panhandle,PARK
13,14.5,685000,27,3/31/12,Sat,Parkside,TARAVAL
5,43,1060000,7,3/31/12,Sat,Peralta Heights,BAYVIEW
9,33,2675000,16,3/31/12,Sat,Presidio Heights,NORTHERN
23,19.5,661000,52,3/31/12,Sat,Rincon Hill,SOUTHERN
5,36.5,2725000,7,3/31/12,Sat,Seacliff,RICHMOND
56,23,661000,117,3/31/12,Sat,South Beach,SOUTHERN
34,22,500000,60,3/31/12,Sat,South of Market,SOUTHERN
353,32,530000,597,3/31/12,Sat,Southeast San Francisco,BAYVIEW
309,36.5,709000,646,3/31/12,Sat,Southwest San Francisco,TARAVAL
6,38.5,575000,15,3/31/12,Sat,Sunnyside,INGLESIDE
8,43.5,399000,13,3/31/12,Sat,Tenderloin,TENDERLOIN
9,51.5,660000,14,3/31/12,Sat,Union Street,CENTRAL
6,7,594000,13,3/31/12,Sat,University Mound,BAYVIEW
12,86,948000,20,3/31/12,Sat,Upper Market,PARK
13,39,406000,23,3/31/12,Sat,Visitacion Valley,INGLESIDE
1,50.5,1011000,2,4/30/12,Mon,Anza Vista,PARK
9,15,1295000,21,4/30/12,Mon,Ashbury Heights / Parnassus,PARK
8,139,314000,13,4/30/12,Mon,Bret Harte,BAYVIEW
10,13,1161000,24,4/30/12,Mon,Buena Vista,PARK
11,24,410000,23,4/30/12,Mon,Cathedral Hill,NORTHERN
8,39,530000,9,4/30/12,Mon,Cayuga,INGLESIDE
5,127,1100000,8,4/30/12,Mon,Clarendon Heights,PARK
2,8,1050000,7,4/30/12,Mon,Corona Heights,PARK
10,12,1400000,34,4/30/12,Mon,Dolores Heights,MISSION
17,16,1175000,30,4/30/12,Mon,Eureka Valley,MISSION
4,26.5,883000,11,4/30/12,Mon,Fairmount,CENTRAL
5,13.5,1145000,9,4/30/12,Mon,Forest Hill,TARAVAL
7,19.5,855000,29,4/30/12,Mon,Golden Gate Heights,TARAVAL
4,16,980000,14,4/30/12,Mon,Haight Ashbury,PARK
4,41.5,598000,6,4/30/12,Mon,Holly Park,INGLESIDE
19,36,850000,52,4/30/12,Mon,Inner Richmond,RICHMOND
10,21,821000,27,4/30/12,Mon,Inner Sunset,TARAVAL
5,24.5,807000,10,4/30/12,Mon,Lake Street,NORTHERN
3,30,622000,12,4/30/12,Mon,Laurel Heights-Jordan Park,RICHMOND
4,19,1018000,12,4/30/12,Mon,Lone Mountain,RICHMOND
18,40.5,590000,32,4/30/12,Mon,Mission Bay,SOUTHERN
30,13,739000,58,4/30/12,Mon,Mission District,MISSION
3,15,810000,21,4/30/12,Mon,Mission Dolores,MISSION
35,19.5,1199000,96,4/30/12,Mon,Noe Valley,MISSION
113,24,679000,195,4/30/12,Mon,Northeast San Francisco,CENTRAL
288,20,860000,600,4/30/12,Mon,Northwest San Francisco,RICHMOND
7,14,510000,9,4/30/12,Mon,Outer Mission,INGLESIDE
38,20.5,667000,58,4/30/12,Mon,Outer Richmond,RICHMOND
41,26.5,655000,94,4/30/12,Mon,Outer Sunset,TARAVAL
4,8,818000,17,4/30/12,Mon,Panhandle,PARK
16,12.5,690000,35,4/30/12,Mon,Parkside,TARAVAL
5,22,745000,7,4/30/12,Mon,Peralta Heights,BAYVIEW
8,9.5,2350000,16,4/30/12,Mon,Presidio Heights,NORTHERN
20,12,780000,53,4/30/12,Mon,Rincon Hill,SOUTHERN
7,57,2350000,12,4/30/12,Mon,Seacliff,RICHMOND
48,16,716000,113,4/30/12,Mon,South Beach,SOUTHERN
35,35,519000,65,4/30/12,Mon,South of Market,SOUTHERN
340,27,561000,590,4/30/12,Mon,Southeast San Francisco,BAYVIEW
327,20,737000,707,4/30/12,Mon,Southwest San Francisco,TARAVAL
7,25,550000,16,4/30/12,Mon,Sunnyside,INGLESIDE
10,38,399000,10,4/30/12,Mon,Tenderloin,TENDERLOIN
9,22,910000,13,4/30/12,Mon,Union Street,CENTRAL
8,7,550000,9,4/30/12,Mon,University Mound,BAYVIEW
9,29,990000,20,4/30/12,Mon,Upper Market,PARK
14,24,385000,20,4/30/12,Mon,Visitacion Valley,INGLESIDE
,91,730000,1,5/31/12,Thu,Anza Vista,PARK
10,14,1275000,25,5/31/12,Thu,Ashbury Heights / Parnassus,PARK
8,98.5,320000,11,5/31/12,Thu,Bret Harte,BAYVIEW
8,11.5,1295000,27,5/31/12,Thu,Buena Vista,PARK
10,17,420000,24,5/31/12,Thu,Cathedral Hill,NORTHERN
12,17,525000,14,5/31/12,Thu,Cayuga,INGLESIDE
6,83.5,770000,9,5/31/12,Thu,Clarendon Heights,PARK
2,8,900000,9,5/31/12,Thu,Corona Heights,PARK
13,13.5,1400000,39,5/31/12,Thu,Dolores Heights,MISSION
16,12.5,1038000,37,5/31/12,Thu,Eureka Valley,MISSION
2,26.5,803000,12,5/31/12,Thu,Fairmount,CENTRAL
2,16,1533000,10,5/31/12,Thu,Forest Hill,TARAVAL
14,19.5,860000,34,5/31/12,Thu,Golden Gate Heights,TARAVAL
8,8,1030000,20,5/31/12,Thu,Haight Ashbury,PARK
4,50,785000,5,5/31/12,Thu,Holly Park,INGLESIDE
16,21,900000,47,5/31/12,Thu,Inner Richmond,RICHMOND
12,21,821000,31,5/31/12,Thu,Inner Sunset,TARAVAL
4,16,812000,10,5/31/12,Thu,Lake Street,NORTHERN
5,30,834000,9,5/31/12,Thu,Laurel Heights-Jordan Park,RICHMOND
2,14,1024000,10,5/31/12,Thu,Lone Mountain,RICHMOND
14,37,660000,30,5/31/12,Thu,Mission Bay,SOUTHERN
20,14.5,660000,67,5/31/12,Thu,Mission District,MISSION
3,13,700000,17,5/31/12,Thu,Mission Dolores,MISSION
28,20,1205000,98,5/31/12,Thu,Noe Valley,MISSION
117,18,723000,203,5/31/12,Thu,Northeast San Francisco,CENTRAL
268,16,880000,641,5/31/12,Thu,Northwest San Francisco,RICHMOND
6,13.5,503000,11,5/31/12,Thu,Outer Mission,INGLESIDE
40,18,725000,67,5/31/12,Thu,Outer Richmond,RICHMOND
31,14,680000,80,5/31/12,Thu,Outer Sunset,TARAVAL
4,8,963000,20,5/31/12,Thu,Panhandle,PARK
11,12.5,755000,31,5/31/12,Thu,Parkside,TARAVAL
2,28.5,758000,7,5/31/12,Thu,Peralta Heights,BAYVIEW
12,12,2250000,22,5/31/12,Thu,Presidio Heights,NORTHERN
27,11,745000,59,5/31/12,Thu,Rincon Hill,SOUTHERN
7,16,2288000,11,5/31/12,Thu,Seacliff,RICHMOND
60,13.5,750000,118,5/31/12,Thu,South Beach,SOUTHERN
32,24,537000,71,5/31/12,Thu,South of Market,SOUTHERN
315,24,570000,619,5/31/12,Thu,Southeast San Francisco,BAYVIEW
297,17,754000,735,5/31/12,Thu,Southwest San Francisco,TARAVAL
7,15,648000,18,5/31/12,Thu,Sunnyside,INGLESIDE
11,23,329000,11,5/31/12,Thu,Tenderloin,TENDERLOIN
8,17.5,725000,14,5/31/12,Thu,Union Street,CENTRAL
4,14,588000,11,5/31/12,Thu,University Mound,BAYVIEW
9,27,678000,19,5/31/12,Thu,Upper Market,PARK
9,40,410000,14,5/31/12,Thu,Visitacion Valley,INGLESIDE
3,34,668000,6,6/30/12,Sat,Anza Vista,PARK
9,14,1275000,28,6/30/12,Sat,Ashbury Heights / Parnassus,PARK
8,32,320000,12,6/30/12,Sat,Bret Harte,BAYVIEW
12,13,1200000,33,6/30/12,Sat,Buena Vista,PARK
10,13,439000,22,6/30/12,Sat,Cathedral Hill,NORTHERN
8,42,510000,12,6/30/12,Sat,Cayuga,INGLESIDE
5,31,710000,9,6/30/12,Sat,Clarendon Heights,PARK
4,8,900000,12,6/30/12,Sat,Corona Heights,PARK
4,13,1500000,33,6/30/12,Sat,Dolores Heights,MISSION
14,13,1000000,35,6/30/12,Sat,Eureka Valley,MISSION
3,20,860000,14,6/30/12,Sat,Fairmount,CENTRAL
3,18,1600000,6,6/30/12,Sat,Forest Hill,TARAVAL
12,21,860000,28,6/30/12,Sat,Golden Gate Heights,TARAVAL
7,8,1030000,15,6/30/12,Sat,Haight Ashbury,PARK
11,50,785000,14,6/30/12,Sat,Holly Park,INGLESIDE
16,20,893000,45,6/30/12,Sat,Inner Richmond,RICHMOND
10,23,845000,34,6/30/12,Sat,Inner Sunset,TARAVAL
3,18,1185000,9,6/30/12,Sat,Lake Street,NORTHERN
3,17,1453000,11,6/30/12,Sat,Laurel Heights-Jordan Park,RICHMOND
4,8,1030000,8,6/30/12,Sat,Lone Mountain,RICHMOND
17,42,687000,28,6/30/12,Sat,Mission Bay,SOUTHERN
17,15,752000,67,6/30/12,Sat,Mission District,MISSION
4,13,660000,13,6/30/12,Sat,Mission Dolores,MISSION
32,18,1203000,85,6/30/12,Sat,Noe Valley,MISSION
116,18,735000,197,6/30/12,Sat,Northeast San Francisco,CENTRAL
260,16,900000,621,6/30/12,Sat,Northwest San Francisco,RICHMOND
6,25.5,495000,11,6/30/12,Sat,Outer Mission,INGLESIDE
31,16,732000,66,6/30/12,Sat,Outer Richmond,RICHMOND
28,14.5,695000,57,6/30/12,Sat,Outer Sunset,TARAVAL
3,10,913000,19,6/30/12,Sat,Panhandle,PARK
8,14,760000,31,6/30/12,Sat,Parkside,TARAVAL
3,15,680000,8,6/30/12,Sat,Peralta Heights,BAYVIEW
14,17,2500000,23,6/30/12,Sat,Presidio Heights,NORTHERN
23,12.5,797000,57,6/30/12,Sat,Rincon Hill,SOUTHERN
7,14.5,2036000,10,6/30/12,Sat,Seacliff,RICHMOND
59,16,825000,118,6/30/12,Sat,South Beach,SOUTHERN
26,18,590000,62,6/30/12,Sat,South of Market,SOUTHERN
306,20.5,605000,607,6/30/12,Sat,Southeast San Francisco,BAYVIEW
305,15,770000,716,6/30/12,Sat,Southwest San Francisco,TARAVAL
10,14,664000,17,6/30/12,Sat,Sunnyside,INGLESIDE
10,13,460000,12,6/30/12,Sat,Tenderloin,TENDERLOIN
9,18,1500000,14,6/30/12,Sat,Union Street,CENTRAL
5,14.5,608000,10,6/30/12,Sat,University Mound,BAYVIEW
13,34.5,547000,22,6/30/12,Sat,Upper Market,PARK
7,40,440000,12,6/30/12,Sat,Visitacion Valley,INGLESIDE
5,12,865000,11,7/31/12,Tue,Anza Vista,PARK
3,16,1379000,24,7/31/12,Tue,Ashbury Heights / Parnassus,PARK
8,32,305000,15,7/31/12,Tue,Bret Harte,BAYVIEW
3,15,1155000,26,7/31/12,Tue,Buena Vista,PARK
9,27,427000,28,7/31/12,Tue,Cathedral Hill,NORTHERN
6,15,510000,17,7/31/12,Tue,Cayuga,INGLESIDE
1,18,710000,7,7/31/12,Tue,Clarendon Heights,PARK
3,11,930000,9,7/31/12,Tue,Corona Heights,PARK
11,13,1233000,38,7/31/12,Tue,Dolores Heights,MISSION
12,13,978000,33,7/31/12,Tue,Eureka Valley,MISSION
1,16,858000,10,7/31/12,Tue,Fairmount,CENTRAL
3,20,1680000,5,7/31/12,Tue,Forest Hill,TARAVAL
10,18,865000,26,7/31/12,Tue,Golden Gate Heights,TARAVAL
4,12.5,1018000,16,7/31/12,Tue,Haight Ashbury,PARK
2,14.5,728000,13,7/31/12,Tue,Holly Park,INGLESIDE
11,17,1024000,36,7/31/12,Tue,Inner Richmond,RICHMOND
9,22,835000,31,7/31/12,Tue,Inner Sunset,TARAVAL
3,14.5,1110000,7,7/31/12,Tue,Lake Street,NORTHERN
2,12,1453000,11,7/31/12,Tue,Laurel Heights-Jordan Park,RICHMOND
3,7,945000,7,7/31/12,Tue,Lone Mountain,RICHMOND
16,23,665000,31,7/31/12,Tue,Mission Bay,SOUTHERN
15,15,714000,56,7/31/12,Tue,Mission District,MISSION
4,8,625000,11,7/31/12,Tue,Mission Dolores,MISSION
41,15.5,1243000,95,7/31/12,Tue,Noe Valley,MISSION
88,18,770000,170,7/31/12,Tue,Northeast San Francisco,CENTRAL
219,17,925000,561,7/31/12,Tue,Northwest San Francisco,RICHMOND
5,14,570000,11,7/31/12,Tue,Outer Mission,INGLESIDE
30,15,751000,53,7/31/12,Tue,Outer Richmond,RICHMOND
35,18,702000,57,7/31/12,Tue,Outer Sunset,TARAVAL
6,11,913000,16,7/31/12,Tue,Panhandle,PARK
13,15,710000,32,7/31/12,Tue,Parkside,TARAVAL
3,11,850000,7,7/31/12,Tue,Peralta Heights,BAYVIEW
12,17,2500000,20,7/31/12,Tue,Presidio Heights,NORTHERN
23,21,700000,56,7/31/12,Tue,Rincon Hill,SOUTHERN
7,16.5,2152000,6,7/31/12,Tue,Seacliff,RICHMOND
56,20,799000,125,7/31/12,Tue,South Beach,SOUTHERN
26,16,650000,55,7/31/12,Tue,South of Market,SOUTHERN
275,19,625000,611,7/31/12,Tue,Southeast San Francisco,BAYVIEW
284,15,760000,701,7/31/12,Tue,Southwest San Francisco,TARAVAL
9,14,664000,13,7/31/12,Tue,Sunnyside,INGLESIDE
9,9.5,307000,12,7/31/12,Tue,Tenderloin,TENDERLOIN
5,21,1465000,12,7/31/12,Tue,Union Street,CENTRAL
3,16,608000,8,7/31/12,Tue,University Mound,BAYVIEW
18,31.5,539000,25,7/31/12,Tue,Upper Market,PARK
4,37,478000,13,7/31/12,Tue,Visitacion Valley,INGLESIDE
3,15,721000,12,8/31/12,Fri,Anza Vista,PARK
4,15,1450000,18,8/31/12,Fri,Ashbury Heights / Parnassus,PARK
6,21,373000,15,8/31/12,Fri,Bret Harte,BAYVIEW
1,14.5,1265000,22,8/31/12,Fri,Buena Vista,PARK
12,13,457000,28,8/31/12,Fri,Cathedral Hill,NORTHERN
6,15,603000,15,8/31/12,Fri,Cayuga,INGLESIDE
6,18,919000,12,8/31/12,Fri,Clarendon Heights,PARK
2,10,935000,8,8/31/12,Fri,Corona Heights,PARK
3,13.5,1163000,35,8/31/12,Fri,Dolores Heights,MISSION
7,18,1130000,32,8/31/12,Fri,Eureka Valley,MISSION
2,14,1018000,6,8/31/12,Fri,Fairmount,CENTRAL
2,23,1475000,5,8/31/12,Fri,Forest Hill,TARAVAL
11,14,880000,19,8/31/12,Fri,Golden Gate Heights,TARAVAL
2,27,1031000,9,8/31/12,Fri,Haight Ashbury,PARK
1,16.5,785000,14,8/31/12,Fri,Holly Park,INGLESIDE
14,21,1019000,38,8/31/12,Fri,Inner Richmond,RICHMOND
10,17.5,865000,30,8/31/12,Fri,Inner Sunset,TARAVAL
2,14,923000,6,8/31/12,Fri,Lake Street,NORTHERN
3,9,1469000,8,8/31/12,Fri,Laurel Heights-Jordan Park,RICHMOND
4,64,863000,5,8/31/12,Fri,Lone Mountain,RICHMOND
12,31.5,740000,27,8/31/12,Fri,Mission Bay,SOUTHERN
20,13,743000,58,8/31/12,Fri,Mission District,MISSION
3,10,630000,13,8/31/12,Fri,Mission Dolores,MISSION
23,14,1260000,94,8/31/12,Fri,Noe Valley,MISSION
71,22,750000,147,8/31/12,Fri,Northeast San Francisco,CENTRAL
220,18,890000,491,8/31/12,Fri,Northwest San Francisco,RICHMOND
9,15,541000,12,8/31/12,Fri,Outer Mission,INGLESIDE
34,21.5,770000,42,8/31/12,Fri,Outer Richmond,RICHMOND
32,22,701000,66,8/31/12,Fri,Outer Sunset,TARAVAL
4,11.5,827000,13,8/31/12,Fri,Panhandle,PARK
8,15,715000,27,8/31/12,Fri,Parkside,TARAVAL
1,11.5,765000,7,8/31/12,Fri,Peralta Heights,BAYVIEW
11,14,2900000,11,8/31/12,Fri,Presidio Heights,NORTHERN
26,16.5,769000,46,8/31/12,Fri,Rincon Hill,SOUTHERN
9,32,2077000,7,8/31/12,Fri,Seacliff,RICHMOND
63,19,790000,126,8/31/12,Fri,South Beach,SOUTHERN
32,18.5,643000,56,8/31/12,Fri,South of Market,SOUTHERN
262,18,649000,602,8/31/12,Fri,Southeast San Francisco,BAYVIEW
279,15,775000,715,8/31/12,Fri,Southwest San Francisco,TARAVAL
7,13,664000,14,8/31/12,Fri,Sunnyside,INGLESIDE
4,12,300000,8,8/31/12,Fri,Tenderloin,TENDERLOIN
7,21,1195000,12,8/31/12,Fri,Union Street,CENTRAL
4,15,591000,9,8/31/12,Fri,University Mound,BAYVIEW
15,31.5,563000,27,8/31/12,Fri,Upper Market,PARK
6,18,485000,17,8/31/12,Fri,Visitacion Valley,INGLESIDE
7,16,721000,15,9/30/12,Sun,Anza Vista,PARK
11,15.5,1620000,27,9/30/12,Sun,Ashbury Heights / Parnassus,PARK
6,10,468000,14,9/30/12,Sun,Bret Harte,BAYVIEW
3,15,1373000,20,9/30/12,Sun,Buena Vista,PARK
7,18,458000,27,9/30/12,Sun,Cathedral Hill,NORTHERN
10,14,676000,22,9/30/12,Sun,Cayuga,INGLESIDE
10,13,1043000,17,9/30/12,Sun,Clarendon Heights,PARK
6,10,1020000,11,9/30/12,Sun,Corona Heights,PARK
13,14,1167000,45,9/30/12,Sun,Dolores Heights,MISSION
22,15,1228000,53,9/30/12,Sun,Eureka Valley,MISSION
5,14,1018000,7,9/30/12,Sun,Fairmount,CENTRAL
5,23,1475000,7,9/30/12,Sun,Forest Hill,TARAVAL
16,14,923000,25,9/30/12,Sun,Golden Gate Heights,TARAVAL
2,21,1128000,10,9/30/12,Sun,Haight Ashbury,PARK
4,33,790000,11,9/30/12,Sun,Holly Park,INGLESIDE
17,22.5,1075000,36,9/30/12,Sun,Inner Richmond,RICHMOND
9,14,849000,28,9/30/12,Sun,Inner Sunset,TARAVAL
5,14,1040000,7,9/30/12,Sun,Lake Street,NORTHERN
3,17,1101000,9,9/30/12,Sun,Laurel Heights-Jordan Park,RICHMOND
7,88,960000,8,9/30/12,Sun,Lone Mountain,RICHMOND
12,28,741000,23,9/30/12,Sun,Mission Bay,SOUTHERN
21,15,714000,60,9/30/12,Sun,Mission District,MISSION
6,8.5,905000,20,9/30/12,Sun,Mission Dolores,MISSION
48,17,1250000,114,9/30/12,Sun,Noe Valley,MISSION
89,24,710000,158,9/30/12,Sun,Northeast San Francisco,CENTRAL
295,16.5,890000,580,9/30/12,Sun,Northwest San Francisco,RICHMOND
12,15,533000,14,9/30/12,Sun,Outer Mission,INGLESIDE
31,22.5,838000,51,9/30/12,Sun,Outer Richmond,RICHMOND
35,17.5,696000,84,9/30/12,Sun,Outer Sunset,TARAVAL
6,12,850000,19,9/30/12,Sun,Panhandle,PARK
13,15,731000,28,9/30/12,Sun,Parkside,TARAVAL
2,13,935000,7,9/30/12,Sun,Peralta Heights,BAYVIEW
18,13,2143000,19,9/30/12,Sun,Presidio Heights,NORTHERN
36,14,781000,54,9/30/12,Sun,Rincon Hill,SOUTHERN
7,52,1884000,9,9/30/12,Sun,Seacliff,RICHMOND
70,15.5,818000,139,9/30/12,Sun,South Beach,SOUTHERN
39,21,617000,65,9/30/12,Sun,South of Market,SOUTHERN
313,18,649000,646,9/30/12,Sun,Southeast San Francisco,BAYVIEW
387,15,780000,805,9/30/12,Sun,Southwest San Francisco,TARAVAL
11,19.5,628000,17,9/30/12,Sun,Sunnyside,INGLESIDE
6,15,380000,6,9/30/12,Sun,Tenderloin,TENDERLOIN
8,20.5,939000,11,9/30/12,Sun,Union Street,CENTRAL
7,26,610000,10,9/30/12,Sun,University Mound,BAYVIEW
13,21,890000,26,9/30/12,Sun,Upper Market,PARK
4,17.5,515000,17,9/30/12,Sun,Visitacion Valley,INGLESIDE
4,20,721000,10,10/31/12,Wed,Anza Vista,PARK
8,11.5,1438000,25,10/31/12,Wed,Ashbury Heights / Parnassus,PARK
6,13,430000,15,10/31/12,Wed,Bret Harte,BAYVIEW
7,11,1353000,22,10/31/12,Wed,Buena Vista,PARK
9,18,458000,24,10/31/12,Wed,Cathedral Hill,NORTHERN
8,21,710000,20,10/31/12,Wed,Cayuga,INGLESIDE
11,12,1150000,23,10/31/12,Wed,Clarendon Heights,PARK
3,9,1203000,14,10/31/12,Wed,Corona Heights,PARK
8,15,1130000,40,10/31/12,Wed,Dolores Heights,MISSION
13,14,1229000,52,10/31/12,Wed,Eureka Valley,MISSION
6,12.5,1065000,14,10/31/12,Wed,Fairmount,CENTRAL
6,27.5,1480000,9,10/31/12,Wed,Forest Hill,TARAVAL
14,11.5,1008000,37,10/31/12,Wed,Golden Gate Heights,TARAVAL
4,23.5,1035000,10,10/31/12,Wed,Haight Ashbury,PARK
5,27,815000,12,10/31/12,Wed,Holly Park,INGLESIDE
11,17,1165000,37,10/31/12,Wed,Inner Richmond,RICHMOND
7,11,977000,33,10/31/12,Wed,Inner Sunset,TARAVAL
2,31,1045000,8,10/31/12,Wed,Lake Street,NORTHERN
3,10.5,873000,11,10/31/12,Wed,Laurel Heights-Jordan Park,RICHMOND
2,53.5,1066000,10,10/31/12,Wed,Lone Mountain,RICHMOND
12,31,794000,27,10/31/12,Wed,Mission Bay,SOUTHERN
27,15.5,768000,67,10/31/12,Wed,Mission District,MISSION
8,11,1000000,26,10/31/12,Wed,Mission Dolores,MISSION
29,17,1180000,98,10/31/12,Wed,Noe Valley,MISSION
86,21.5,727000,173,10/31/12,Wed,Northeast San Francisco,CENTRAL
272,15,890000,611,10/31/12,Wed,Northwest San Francisco,RICHMOND
6,23,503000,14,10/31/12,Wed,Outer Mission,INGLESIDE
28,24,863000,55,10/31/12,Wed,Outer Richmond,RICHMOND
40,15,713000,84,10/31/12,Wed,Outer Sunset,TARAVAL
7,13,1000000,20,10/31/12,Wed,Panhandle,PARK
11,14,750000,28,10/31/12,Wed,Parkside,TARAVAL
3,14,865000,8,10/31/12,Wed,Peralta Heights,BAYVIEW
16,35.5,3100000,26,10/31/12,Wed,Presidio Heights,NORTHERN
32,13,808000,55,10/31/12,Wed,Rincon Hill,SOUTHERN
5,15,2600000,10,10/31/12,Wed,Seacliff,RICHMOND
67,14,818000,142,10/31/12,Wed,South Beach,SOUTHERN
28,21,673000,70,10/31/12,Wed,South of Market,SOUTHERN
311,16,660000,662,10/31/12,Wed,Southeast San Francisco,BAYVIEW
333,15,793000,836,10/31/12,Wed,Southwest San Francisco,TARAVAL
8,15,670000,22,10/31/12,Wed,Sunnyside,INGLESIDE
3,81,445000,6,10/31/12,Wed,Tenderloin,TENDERLOIN
12,14.5,615000,14,10/31/12,Wed,Union Street,CENTRAL
6,26.5,615000,11,10/31/12,Wed,University Mound,BAYVIEW
13,19,740000,23,10/31/12,Wed,Upper Market,PARK
7,16,493000,17,10/31/12,Wed,Visitacion Valley,INGLESIDE
4,33.5,842000,13,11/30/12,Fri,Anza Vista,PARK
9,11,1393000,27,11/30/12,Fri,Ashbury Heights / Parnassus,PARK
5,17,420000,13,11/30/12,Fri,Bret Harte,BAYVIEW
6,11,1425000,22,11/30/12,Fri,Buena Vista,PARK
6,28,600000,22,11/30/12,Fri,Cathedral Hill,NORTHERN
6,20,646000,15,11/30/12,Fri,Cayuga,INGLESIDE
